,timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,rotX,rotY,rotZ,rotS,features,prediction
0,1569974879888,-7.448511,4.028423,4.643943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.448511,4.028423,4.643943])",1
1,1569974879889,-7.6305327,4.24158,4.4762917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6305327,4.24158,4.4762917])",1
2,1569974879890,-7.697593,4.358936,4.4212065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.697593,4.358936,4.4212065])",1
3,1569974879892,-7.697593,4.3541455,4.512217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.697593,4.3541455,4.512217])",1
4,1569974879894,-7.7167535,4.1936793,4.7014236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.7167535,4.1936793,4.7014236])",1
5,1569974879896,-7.671248,4.0044727,4.8139896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.671248,4.0044727,4.8139896])",1
6,1569974879897,-7.709568,4.112249,4.663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.709568,4.112249,4.663103])",1
7,1569974879899,-7.6592727,3.999683,4.749324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6592727,3.999683,4.749324])",1
8,1569974879900,-7.664063,4.009263,4.703819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.664063,4.009263,4.703819])",1
9,1569974879902,-7.6305327,4.1553593,4.598438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6305327,4.1553593,4.598438])",1
10,1569974879922,-7.6017923,4.2272096,4.5385623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6017923,4.2272096,4.5385623])",1
11,1569974879923,-7.704778,4.160149,4.495452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.704778,4.160149,4.495452])",1
12,1569974879925,-7.6137676,4.181704,4.6104126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6137676,4.181704,4.6104126])",1
13,1569974879926,-7.6401124,4.176914,4.6104126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6401124,4.176914,4.6104126])",1
14,1569974879928,-7.6592727,4.2248144,4.5457473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.6592727,4.2248144,4.5457473])",1
15,1569974879929,-7.695198,4.129014,4.624783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.695198,4.129014,4.624783])",1
16,1569974879931,-7.553892,3.9709425,4.6726832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.553892,3.9709425,4.6726832])",1
17,1569974879932,-7.470066,3.9302273,4.756509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1,2],[-7.470066,3.9302273,4.756509])",1
18,1569974879958,-7.470066,3.9302273,4.756509,0.051312663,0.0122173,0.025656331,0.0,0.0,0.0,0.0,"[-7.470066,3.9302273,4.756509,0.051312663,0.0122173,0.025656331,0.0,0.0,0.0,0.0]",1
19,1569974879960,-7.549102,4.0978785,4.6774735,0.051312663,0.0122173,0.025656331,0.0,0.0,0.0,0.0,"[-7.549102,4.0978785,4.6774735,0.051312663,0.0122173,0.025656331,0.0,0.0,0.0,0.0]",1
20,1569974879961,-7.6185575,4.26553,4.488267,0.051312663,0.0122173,0.025656331,0.0,0.0,0.0,0.0,"[-7.6185575,4.26553,4.488267,0.051312663,0.0122173,0.025656331,0.0,0.0,0.0,0.0]",1
